ID,Street name,lien,longueur (m),osm_wid,osm_nidx,lon,lat,len
912,Avenue Samuel Champlain,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView912.html""; ""912"")",40.2,24423238,"[265372415, 267857804]","[3.890471, 3.8899749999999997]","[43.607091, 43.607134]",[40.2]
913,Avenue Samuel Champlain,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView913.html""; ""913"")",37.73,24423238,"[267857804, 282899890]","[3.8899749999999997, 3.889509]","[43.607134, 43.607168]",[37.73]
914,Avenue Samuel Champlain,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView914.html""; ""914"")",38.84,24423238,"[282899890, 267857721]","[3.889509, 3.889029]","[43.607168, 43.607209]",[38.84]
915,Avenue Samuel Champlain,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView915.html""; ""915"")",41.31,24423238,"[267857721, 266121551]","[3.889029, 3.888519]","[43.607209, 43.60725]",[41.31]
916,Rue de l'Acropole,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView916.html""; ""916"")",54.15,24423340,"[265381077, 1681880468, 282710979]","[3.892535, 3.8925400000000003, 3.892595]","[43.608209, 43.608247, 43.608694]","[4.27, 49.88]"
917,Rue de l'Acropole,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView917.html""; ""917"")",20.42,24423340,"[282710979, 282904146, 265381079]","[3.892595, 3.892605, 3.892624]","[43.608694, 43.608741, 43.608877]","[5.19, 15.23]"
918,Rue de l'Acropole,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView918.html""; ""918"")",86.39,24423353,"[256037143, 3742670460L, 3742670480L, 265381495]","[3.891868, 3.891916, 3.892282, 3.892285]","[43.605567, 43.605638, 43.606193, 43.606277]","[8.8, 68.33, 9.26]"
920,Rue de l'Epire,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView920.html""; ""920"")",63.36,24423389,"[952610871, 952610901, 295101847, 265389898]","[3.8938829999999998, 3.893818, 3.893475, 3.893099]","[43.606166, 43.606172, 43.606196, 43.60622]","[5.24, 27.74, 30.38]"
921,Rue de l'Epire,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView921.html""; ""921"")",65.73,24423389,"[265389898, 267859167, 265381495]","[3.893099, 3.8926790000000002, 3.892285]","[43.60622, 43.606247, 43.606277]","[33.87, 31.86]"
922,Rue de l'Epire,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView922.html""; ""922"")",78.67,24423389,"[265381495, 295101839, 265389438]","[3.892285, 3.891793, 3.891312]","[43.606277, 43.606313, 43.606344]","[39.87, 38.8]"
923,Rue de l'Epire,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView923.html""; ""923"")",20.42,24423389,"[265389438, 265382948]","[3.891312, 3.89106]","[43.606344, 43.606364]",[20.42]
924,Place d'Acadie,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView924.html""; ""924"")",37.01,24423454,"[265388187, 294719509, 294719506, 282724624, 285880359]","[3.8909000000000002, 3.890905, 3.890873, 3.89079, 3.890751]","[43.606085, 43.606154, 43.60616, 43.606318, 43.606383]","[7.71, 2.62, 18.78, 7.9]"
