ID,Street name,lien,longueur (m),osm_wid,osm_nidx,lon,lat,len
26,Chemin du Moulin de la Salle,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView26.html""; ""26"")",625.36,49857600,"[306047264, 633487287, 633487289, 633487290, 633487291, 633487292, 633487293, 633487294, 633487295, 633487296, 633487297, 633487264]","[-3.373402, -3.371566, -3.371018, -3.370664, -3.370267, -3.369892, -3.3696669999999997, -3.3696989999999998, -3.369484, -3.369141, -3.368551, -3.368377]","[48.740948, 48.740258, 48.740109, 48.740076, 48.739819, 48.739437, 48.73904, 48.738751, 48.73823, 48.737712, 48.737081, 48.736887]","[154.9, 43.36, 26.26, 40.69, 50.6, 47.09, 32.23, 59.98, 62.8, 82.4, 25.05]"
27,None-unclassified,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView27.html""; ""27"")",1503.17,49857598,"[633487263, 633487266, 633487267, 633487268, 633487269, 633487270, 633487271, 639160780, 633487272, 633487273, 633487274, 633487275, 633487276, 771639441, 633487277, 633487278, 633487279, 633487280, 633487281, 633487282, 633487283, 633487284, 633487285]","[-3.361928, -3.361534, -3.361266, -3.36088, -3.360633, -3.360375, -3.360257, -3.36042, -3.360472, -3.360783, -3.3614800000000002, -3.362103, -3.362886, -3.363035, -3.36368, -3.364721, -3.365987, -3.367564, -3.369066, -3.370345, -3.370589, -3.371158, -3.3722149999999997]","[48.737422, 48.737046, 48.73672, 48.736387, 48.736048, 48.735036, 48.734187, 48.733951, 48.733875, 48.733628, 48.732524, 48.731901, 48.731222, 48.73113, 48.730733, 48.730288, 48.730054, 48.729913, 48.729884, 48.729771, 48.729672, 48.729601, 48.729672]","[50.81, 41.17, 46.55, 41.86, 114.02, 94.75, 28.76, 9.25, 35.73, 132.9, 82.87, 94.84, 14.94, 64.63, 90.96, 96.36, 116.66, 110.15, 94.63, 21.01, 42.42, 77.9]"
28,None-unclassified,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView28.html""; ""28"")",90.15,49857598,"[633487285, 410856957]","[-3.3722149999999997, -3.373445]","[48.729672, 48.729688]",[90.15]
29,None-unclassified,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView29.html""; ""29"")",168.63,49865052,"[633569175, 633569177, 633569178, 633569180, 633569181]","[-3.372327, -3.3719200000000003, -3.371587, -3.371383, -3.371257]","[48.734882999999996, 48.735239, 48.735614, 48.73596, 48.736213]","[49.5, 48.29, 41.32, 29.52]"
30,Rue des Rosiers,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView30.html""; ""30"")",132.83,50306585,"[639160772, 410857100]","[-3.379697, -3.380352]","[48.729313, 48.730428]",[132.83]
31,Rue de Nabaster,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView31.html""; ""31"")",109.4,50306596,"[628647169, 628647170]","[-3.383007, -3.383371]","[48.728417, 48.729371]",[109.4]
32,Rue des Tulipes,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView32.html""; ""32"")",95.63,50306598,"[639160840, 3414814968L, 639160841]","[-3.382499, -3.382276, -3.382058]","[48.728558, 48.72816, 48.727748]","[47.12, 48.51]"
33,Residence Le Carpont,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView33.html""; ""33"")",118.14,51566604,"[659495378, 659495385, 659495387]","[-3.385659, -3.384993, -3.384657]","[48.732366999999996, 48.732538, 48.73199]","[52.44, 65.7]"
34,Residence Le Carpont,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView34.html""; ""34"")",93.59,51566604,"[659495387, 659495388, 659495390]","[-3.384657, -3.384483, -3.385136]","[48.73199, 48.731624, 48.731465]","[42.58, 51.01]"
35,Allee des Boules,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView35.html""; ""35"")",38.45,51566607,"[659495408, 798286852]","[-3.383148, -3.3835]","[48.730506, 48.730762]",[38.45]
